Satellite Name,X,Y,Z
ISS (ZARYA),6232.281149702264,1292.628329093484,278.25289556590496
CSS (TIANHE),2319.5411254235296,5285.357415418206,-2697.1034386453794
ISS (NAUKA),6232.263672495323,1292.749983979731,278.0791171870391
FREGAT DEB,1657.7994217182088,5722.631233234845,2256.7307871688654
CSS (WENTIAN),2319.448845505343,5285.4377407829725,-2697.02538760593
CSS (MENGTIAN),2319.420920318675,5285.462047634304,-2697.001768150229
CYGNUS NG-21,6232.248439132594,1292.855979343066,277.9277057189829
PROGRESS-MS 28,6232.2451021822035,1292.879193151354,277.8945451826139
SOYUZ-MS 26,6232.241897059901,1292.9014881775868,277.8626970274852
CREW DRAGON 9,6232.2385727087785,1292.9246107995716,277.8296665758135
CYSAT-1,-6328.670257059364,176.0058737136896,-711.7553721823506
SHENZHOU-19 (SZ-19),2319.266828286101,5285.596167555673,-2696.8714342238336
TIANZHOU-8,2316.741416019453,5287.747144457685,-2694.824734111623
PROGRESS-MS 29,6232.225571796333,1293.0150217565774,277.7005145110781
2024-013E,-4054.2981150815613,3639.068752782444,3302.9511662403556
YODAKA,-1656.8952089904026,-4097.194765079375,4588.82711849453
1998-067XC,-6036.053186588781,-1937.8907561419765,632.6787067152604
1998-067XD,-3947.0853703358066,-3672.1170847360877,3394.954225798985
YOMOGI,-6048.833908271035,-1909.980957132848,594.3249057043074
ONGLAISAT,-5043.769879470433,-3095.6480235305203,2359.4469092052923
ISS DEB,910.268720090718,4097.977386238627,-4792.455863031107
